epoch,train_loss,val_loss,val_acc,val_loss_old
1,1.8511685393750668,1.9064303806728937,0.3207888888888889,1342.1269879937172
2,1.5550479226830332,1.975818151332946,0.3514666666666666,1390.975978538394
3,1.4328382040627978,1.5150959825312553,0.4704555555555555,1066.6275717020037
4,1.341890416870063,1.7058971924707296,0.4248,1200.9516234993937
5,1.2692528898743063,1.2909282522106713,0.5478333333333333,908.8134895563126
6,1.201685944572091,1.7328464019493284,0.4401444444444444,1219.9238669723272
7,1.139183271676302,1.3494274622803046,0.5264,949.9969334453344
8,1.0812448675490238,1.3829296443357386,0.5420111111111111,973.58246961236
9,1.0148155510594898,1.6131364092315463,0.5119222222222222,1135.6480320990086
10,0.94233289970593,1.4816507641966878,0.5633,1043.0821379944682
11,0.8747616033493117,2.3591874668014827,0.4195444444444444,1660.867976628244
12,0.8036220480941914,1.313482843783938,0.5795444444444444,924.6919220238924
13,0.7385287228125063,1.696920880497518,0.5180888888888889,1194.6322998702526
14,0.686435852707787,3.217395975656638,0.3236777777777778,2265.046766862273
15,0.6510348179462281,1.1089789472435685,0.6444111111111112,780.7211788594723
16,0.6253369243984873,1.2924701246771624,0.6132444444444445,909.8989677727222
17,0.6108179973777045,1.085740778193047,0.6529333333333334,764.3615078479052
18,0.6020712530748411,1.03936177987436,0.6666111111111112,731.7106930315495
19,0.5973411520773714,1.0397114987823775,0.6670444444444444,731.9568951427937
20,0.5946686084974896,1.038502041991292,0.6672111111111111,731.1054375618696
